unit_id,property_id,property_name,unit_type,bedrooms_min,bedrooms_max,bathrooms_min,bathrooms_max,area_min_sqft,area_max_sqft,price_min,price_max,currency,payment_plan,down_payment,installment_years,availability_status,price_status,price_source,last_verified,confidence_score
12b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,12b8dd4b_0ad1_e811_a2b8_00155d119707,Al Monaliza,Commercial,1,3,unknown,unknown,unknown,unknown,13200,13200,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Monaliza&pageNumber=1&pageSize=100,2026-06-24,0.80
b2b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,b2b8dd4b_0ad1_e811_a2b8_00155d119707,Al Musalla Building (Kempinski),Commercial,1,3,unknown,unknown,unknown,unknown,26400,26400,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Musalla%20%20Building%20(Kempinski)&pageNumber=1&pageSize=100,2026-06-24,0.80
00b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,00b8dd4b_0ad1_e811_a2b8_00155d119707,Al Muthaf,Commercial,0,3,unknown,unknown,unknown,unknown,18000,18000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Muthaf&pageNumber=1&pageSize=100,2026-06-24,0.80
fcb7dd4b_0ad1_e811_a2b8_00155d119707_inventory,fcb7dd4b_0ad1_e811_a2b8_00155d119707,Al Nakheel 1,Commercial,1,3,unknown,unknown,unknown,unknown,20400,20400,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nakheel%201&pageNumber=1&pageSize=100,2026-06-24,0.80
29eb4220_c77d_ec11_a2ca_00155d119619_inventory,29eb4220_c77d_ec11_a2ca_00155d119619,Al Nakheel 2,Commercial,0,3,unknown,unknown,unknown,unknown,13431,13431,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nakheel%202&pageNumber=1&pageSize=100,2026-06-24,0.80
06b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,06b8dd4b_0ad1_e811_a2b8_00155d119707,Al Nasr,Commercial,1,3,unknown,unknown,unknown,unknown,19200,19200,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nasr&pageNumber=1&pageSize=100,2026-06-24,0.80
28b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,28b8dd4b_0ad1_e811_a2b8_00155d119707,Al Nuaimia Complex,Commercial,1,3,unknown,unknown,unknown,unknown,15000,15000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nuaimia%20Complex&pageNumber=1&pageSize=100,2026-06-24,0.80
9eb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,9eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Ofoq Tower,Commercial,1,3,unknown,unknown,unknown,unknown,32400,32400,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Ofoq%20Tower&pageNumber=1&pageSize=100,2026-06-24,0.80
98b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,98b8dd4b_0ad1_e811_a2b8_00155d119707,Al Quds Villa,Villa,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,active,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Quds%20Villa&pageNumber=1&pageSize=100,2026-06-24,0.68
cc16b230_d81e_ee11_a2be_00155d119f33_inventory,cc16b230_d81e_ee11_a2be_00155d119f33,Al Ras,Commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,active,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Ras&pageNumber=1&pageSize=100,2026-06-24,0.68
