property_id,location_name,city,district,community,nearest_landmark,nearest_mall,nearest_school,nearest_hospital,nearest_beach,nearest_airport,nearest_highway,latitude,longitude,source_url,last_verified,confidence_score
a8b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.393043,55.433179,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Thuraya%201&pageNumber=1&pageSize=100,2026-06-24,0.80
aab8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.393106,55.433668,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Thuraya%202&pageNumber=1&pageSize=100,2026-06-24,0.80
acb8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.393412,55.433171,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Thuraya%203&pageNumber=1&pageSize=100,2026-06-24,0.80
42b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.396183,55.483812,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Yasmeen%20%20Complex&pageNumber=1&pageSize=100,2026-06-24,0.86
beabdf96_e122_e911_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.399147,55.440736,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Zahir&pageNumber=1&pageSize=100,2026-06-24,0.80
02b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.416648,55.444269,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Zahra%20Complex&pageNumber=1&pageSize=100,2026-06-24,0.80
6c1c103f_f0f0_ea11_a2c4_00155d119619,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.393745,55.457341,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al-Khour%20Tower%20C&pageNumber=1&pageSize=100,2026-06-24,0.80
eeb7dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=AL-Khour%20Towers&pageNumber=1&pageSize=100,2026-06-24,0.80
88b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.4031616,55.4408281,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Amina%20Hospital&pageNumber=1&pageSize=100,2026-06-24,0.60
98de02ed_2222_e911_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.3924655,55.3627318,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Aqaar%20Offices&pageNumber=1&pageSize=100,2026-06-24,0.60
1ab8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.391301,55.440565,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Asayel%201&pageNumber=1&pageSize=100,2026-06-24,0.80
a0b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.391202,55.44019,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Asayel%202&pageNumber=1&pageSize=100,2026-06-24,0.80
