property_id,project_id,property_name,developer,listing_url,property_type,sub_type,bedrooms,bathrooms,bua,plot_size,price,currency,ownership_type,status,source_url,last_verified
property_b2b8dd4b_0ad1_e811_a2b8_00155d119707,b2b8dd4b_0ad1_e811_a2b8_00155d119707,Al Musalla Building (Kempinski),Aqaar,https://www.aqaar.com/projects/b2b8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,26400,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Musalla%20%20Building%20(Kempinski)&pageNumber=1&pageSize=100,2026-06-24
property_00b8dd4b_0ad1_e811_a2b8_00155d119707,00b8dd4b_0ad1_e811_a2b8_00155d119707,Al Muthaf,Aqaar,https://www.aqaar.com/projects/00b8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,18000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Muthaf&pageNumber=1&pageSize=100,2026-06-24
property_fcb7dd4b_0ad1_e811_a2b8_00155d119707,fcb7dd4b_0ad1_e811_a2b8_00155d119707,Al Nakheel 1,Aqaar,https://www.aqaar.com/projects/fcb7dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,20400,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nakheel%201&pageNumber=1&pageSize=100,2026-06-24
property_29eb4220_c77d_ec11_a2ca_00155d119619,29eb4220_c77d_ec11_a2ca_00155d119619,Al Nakheel 2,Aqaar,https://www.aqaar.com/projects/29eb4220-c77d-ec11-a2ca-00155d119619,residential,residential,unknown,unknown,unknown,unknown,13431.48,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nakheel%202&pageNumber=1&pageSize=100,2026-06-24
property_06b8dd4b_0ad1_e811_a2b8_00155d119707,06b8dd4b_0ad1_e811_a2b8_00155d119707,Al Nasr,Aqaar,https://www.aqaar.com/projects/06b8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,19200,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nasr&pageNumber=1&pageSize=100,2026-06-24
property_28b8dd4b_0ad1_e811_a2b8_00155d119707,28b8dd4b_0ad1_e811_a2b8_00155d119707,Al Nuaimia Complex,Aqaar,https://www.aqaar.com/projects/28b8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,15000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nuaimia%20Complex&pageNumber=1&pageSize=100,2026-06-24
property_9eb8dd4b_0ad1_e811_a2b8_00155d119707,9eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Ofoq Tower,Aqaar,https://www.aqaar.com/projects/9eb8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,32400,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Ofoq%20Tower&pageNumber=1&pageSize=100,2026-06-24
property_98b8dd4b_0ad1_e811_a2b8_00155d119707,98b8dd4b_0ad1_e811_a2b8_00155d119707,Al Quds Villa,Aqaar,https://www.aqaar.com/projects/98b8dd4b-0ad1-e811-a2b8-00155d119707,villa,villa,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Quds%20Villa&pageNumber=1&pageSize=100,2026-06-24
property_cc16b230_d81e_ee11_a2be_00155d119f33,cc16b230_d81e_ee11_a2be_00155d119f33,Al Ras,Aqaar,https://www.aqaar.com/projects/cc16b230-d81e-ee11-a2be-00155d119f33,residential,residential,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Ras&pageNumber=1&pageSize=100,2026-06-24
property_88c9f0b0_29ea_f011_8406_70a8a5211049,88c9f0b0_29ea_f011_8406_70a8a5211049,Al Refaa,Aqaar,https://www.aqaar.com/projects/88c9f0b0-29ea-f011-8406-70a8a5211049,mixed_use,mixed_use,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Refaa&pageNumber=1&pageSize=100,2026-06-24
