asset_id,asset_type,title,url,project,developer,source_page
project_image_24b8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Jurf 1 primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728623993/Aqaar/Main%20Portal/community/images/Al_Jurf_1/_DSC1876-1728623993.jpg,Al Jurf 1,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%201&pageNumber=1&pageSize=100
project_image_26b8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Jurf 2 primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728624029/Aqaar/Main%20Portal/community/images/Al_Jurf_2/_DSC1870-1728624029.jpg,Al Jurf 2,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%202&pageNumber=1&pageSize=100
project_image_22b8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Jurf 3 primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728623951/Aqaar/Main%20Portal/community/images/Al_Jurf_3/_DSC1907-1728623951.jpg,Al Jurf 3,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%203&pageNumber=1&pageSize=100
project_image_2ab8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Jurf Complex primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728624259/Aqaar/Main%20Portal/community/images/Al_Jurf_Complex/_DSC1884-1728624259.jpg,Al Jurf Complex,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Complex&pageNumber=1&pageSize=100
project_image_20b8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Jurf Residential Villas primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728624104/Aqaar/Main%20Portal/community/images/Al_Jurf_Residential_Villas/_DSC1938-1728624104.jpg,Al Jurf Residential Villas,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Residential%20Villas&pageNumber=1&pageSize=100
project_image_a2b8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Jurf Show Room 1 primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728624514/Aqaar/Main%20Portal/community/images/Al_Jurf_Show_Room_1/_DSC1892-1728624513.jpg,Al Jurf Show Room 1,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Show%20Room%201&pageNumber=1&pageSize=100
project_image_a4b8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Jurf Show Room 2 primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728624546/Aqaar/Main%20Portal/community/images/Al_Jurf_Show_Room_2/_DSC1894-1728624546.jpg,Al Jurf Show Room 2,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Show%20Room%202&pageNumber=1&pageSize=100
project_image_1cb8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Jurf Villas primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728881854/Aqaar/Main%20Portal/community/images/Al_Jurf_Villas/_DSC1895-1728881854.jpg,Al Jurf Villas,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Villas&pageNumber=1&pageSize=100
project_image_1eb8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Jurf Villas 2 primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728881930/Aqaar/Main%20Portal/community/images/Al_Jurf_Villas_2/_DSC1899-1728881930.jpg,Al Jurf Villas 2,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Villas%202&pageNumber=1&pageSize=100
project_image_8aed16b5_4982_ec11_a2bf_00155d119927,image,Al Karama primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728300482/Aqaar/Main%20Portal/community/images/Al_Karama/_DSC1656-1728300481.jpg,Al Karama,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Karama&pageNumber=1&pageSize=100
